CustomerKey,FirstName,LastName,Fullname,BirthDate,Gender,DateFirstPurchase,CustomerCity
11000,Jon,Yang,Jon Yang,10/6/1971,Male,1/19/2019,Rockhampton
11001,Eugene,Huang,Eugene Huang,5/10/1976,Male,1/15/2019,Seaford
11002,Ruben,Torres,Ruben Torres,2/9/1971,Male,1/7/2019,Hobart
11003,Christy,Zhu,Christy Zhu,8/14/1973,Female,12/29/2018,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,8/5/1979,Female,1/23/2019,Wollongong
11005,Julio,Ruiz,Julio Ruiz,8/1/1976,Male,12/30/2018,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,12/2/1976,Female,1/24/2019,Matraville
11007,Marco,Mehta,Marco Mehta,11/6/1969,Male,1/9/2019,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,7/4/1975,Female,1/25/2019,Bendigo
11009,Shannon,Carlson,Shannon Carlson,9/29/1969,Male,1/27/2019,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,8/5/1969,Female,1/14/2019,East Brisbane
11011,Curtis,Lu,Curtis Lu,5/3/1969,Male,12/30/2018,East Brisbane
11012,Lauren,Walker,Lauren Walker,1/14/1979,Female,3/16/2021,Bremerton
11013,Ian,Jenkins,Ian Jenkins,8/3/1979,Male,4/13/2021,Lebanon
11014,Sydney,Bennett,Sydney Bennett,11/6/1973,Female,3/23/2021,Redmond
11015,Chloe,Young,Chloe Young,8/26/1984,Female,1/18/2021,Burbank
11016,Wyatt,Hill,Wyatt Hill,10/25/1984,Male,2/9/2021,Imperial Beach
11017,Shannon,Wang,Shannon Wang,12/24/1949,Female,1/12/2019,Sunbury
11018,Clarence,Rai,Clarence Rai,10/6/1955,Male,1/17/2019,Bendigo
11019,Luke,Lal,Luke Lal,9/4/1983,Male,2/12/2021,Langley
11020,Jordan,King,Jordan King,3/19/1984,Male,12/29/2020,Metchosin
11021,Destiny,Wilson,Destiny Wilson,3/2/1984,Female,1/23/2021,Beaverton
11022,Ethan,Zhang,Ethan Zhang,4/10/1984,Male,1/20/2021,Bellingham
11023,Seth,Edwards,Seth Edwards,4/9/1984,Male,2/17/2021,Bellflower
11024,Russell,Xie,Russell Xie,3/16/1984,Male,6/27/2021,Concord
11025,Alejandro,Beck,Alejandro Beck,6/22/1951,Male,1/6/2019,Hawthorne
11026,Harold,Sai,Harold Sai,10/1/1951,Male,1/23/2019,Goulburn
11027,Jessie,Zhao,Jessie Zhao,6/5/1952,Male,1/16/2019,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,10/9/1951,Female,1/26/2019,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,6/19/1952,Male,1/19/2019,Bendigo
11030,Bethany,Yuan,Bethany Yuan,2/18/1958,Female,2/5/2019,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,2/18/1953,Female,2/1/2019,Matraville
11032,Denise,Stone,Denise Stone,12/8/1952,Female,2/18/2019,Melbourne
11033,Jaime,Nath,Jaime Nath,9/19/1958,Male,2/15/2019,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,12/16/1952,Female,2/1/2019,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,8/23/1953,Female,2/6/2019,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,6/16/1984,Female,1/22/2021,National City
11037,Chloe,Garcia,Chloe Garcia,5/27/1983,Female,1/20/2021,Cliffside
11038,Diana,Hernandez,Diana Hernandez,9/20/1953,Female,2/7/2019,Lavender Bay
11039,Marc,Martin,Marc Martin,6/16/1954,Male,2/7/2019,Wollongong
11040,Jesse,Murphy,Jesse Murphy,1/29/1983,Male,4/3/2021,Tacoma
11041,Amanda,Carter,Amanda Carter,4/15/1983,Female,1/14/2021,Glendale
11042,Megan,Sanchez,Megan Sanchez,12/11/1982,Female,1/21/2021,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,8/23/1981,Male,5/8/2021,Glendale
11044,Adam,Flores,Adam Flores,11/21/1954,Male,2/28/2019,Hervey Bay
11045,Leonard,Nara,Leonard Nara,11/16/1955,Male,4/10/2021,Matraville
11046,Christine,Yuan,Christine Yuan,9/19/1955,Female,2/6/2019,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,8/27/1955,Female,2/3/2019,Geelong
11048,Jeremy,Powell,Jeremy Powell,5/21/1956,Male,2/10/2019,Sunbury
11049,Carol,Rai,Carol Rai,1/15/1986,Female,3/9/2021,Chula Vista
11050,Alan,Zheng,Alan Zheng,3/6/1957,Male,2/20/2019,Hobart
11051,Daniel,Johnson,Daniel Johnson,1/31/1957,Male,12/29/2021,Caloundra
11052,Heidi,Lopez,Heidi Lopez,2/3/1957,Female,2/17/2019,Matraville
11053,Ana,Price,Ana Price,2/17/1986,Female,1/17/2021,San Diego
11054,Deanna,Munoz,Deanna Munoz,9/7/1957,Female,2/3/2019,Geelong
11055,Gilbert,Raje,Gilbert Raje,9/2/1957,Male,1/31/2019,East Brisbane
11056,Michele,Nath,Michele Nath,10/1/1958,Female,2/26/2019,Newcastle
11057,Carl,Andersen,Carl Andersen,4/7/1970,Male,2/22/2019,Lane Cove
11058,Marc,Diaz,Marc Diaz,4/23/1965,Male,3/9/2019,Findon
11059,Ashlee,Andersen,Ashlee Andersen,9/29/1959,Female,2/18/2021,Townsville
11060,Jon,Zhou,Jon Zhou,9/14/1959,Male,3/19/2019,Warrnambool
11061,Todd,Gao,Todd Gao,2/20/1976,Male,3/13/2019,Gold Coast
11062,Noah,Powell,Noah Powell,3/1/1981,Male,1/7/2021,Portland
11063,Angela,Murphy,Angela Murphy,10/4/1980,Female,1/12/2021,Redmond
11064,Chase,Reed,Chase Reed,6/5/1981,Male,1/25/2021,Downey
11065,Jessica,Henderson,Jessica Henderson,4/8/1979,Female,2/10/2021,La Jolla
11066,Grace,Butler,Grace Butler,5/27/1979,Female,5/31/2021,Lebanon
11067,Caleb,Carter,Caleb Carter,3/25/1982,Male,8/18/2021,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,9/19/1966,Female,4/30/2021,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,9/17/1966,Female,4/17/2019,Gold Coast
11070,Willie,Raji,Willie Raji,10/2/1960,Male,4/28/2019,Sunbury
11071,Linda,Serrano,Linda Serrano,12/23/1960,Female,3/1/2021,Hawthorne
11072,Casey,Luo,Casey Luo,8/5/1960,Female,3/31/2019,St. Leonards
11073,Amy,Ye,Amy Ye,2/11/1962,Female,3/23/2021,Springwood
11074,Levi,Arun,Levi Arun,2/25/1962,Male,3/23/2021,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,5/16/1963,Female,4/28/2019,Bendigo
11076,Blake,Anderson,Blake Anderson,1/10/1963,Male,4/21/2019,Wollongong
11077,Leah,Ye,Leah Ye,3/19/1963,Female,4/15/2019,Melton
11078,Gina,Martin,Gina Martin,1/6/1985,Female,2/15/2021,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,3/7/1970,Male,3/15/2021,Geelong
11080,Damien,Chander,Damien Chander,1/13/1965,Male,4/10/2019,Perth
11081,Savannah,Baker,Savannah Baker,1/21/1972,Female,2/12/2021,Concord
11082,Angela,Butler,Angela Butler,2/1/1972,Female,1/22/2021,Fremont
11083,Alyssa,Cox,Alyssa Cox,3/11/1977,Female,1/6/2021,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,3/12/1963,Male,1/4/2021,Lebanon
11085,Emily,Johnson,Emily Johnson,1/16/1963,Female,12/6/2021,Newport Beach
11086,Ryan,Brown,Ryan Brown,6/22/1963,Male,7/2/2021,Santa Monica
11087,Tamara,Liang,Tamara Liang,4/2/1963,Female,2/25/2021,Chula Vista
11088,Hunter,Davis,Hunter Davis,5/25/1963,Male,1/13/2021,San Diego
11089,Abigail,Price,Abigail Price,8/5/1962,Female,12/29/2020,Long Beach
11090,Trevor,Bryant,Trevor Bryant,12/13/1968,Male,8/7/2019,Los Angeles
11091,Dalton,Perez,Dalton Perez,10/2/1962,Male,1/29/2021,Haney
11092,Cheryl,Diaz,Cheryl Diaz,11/2/1972,Female,4/8/2019,East Brisbane
11093,Aimee,He,Aimee He,9/6/1978,Female,4/7/2019,Wollongong
11094,Cedric,Ma,Cedric Ma,9/29/1967,Male,4/7/2021,Cranbourne
11095,Chad,Kumar,Chad Kumar,2/29/1968,Male,4/1/2019,Port Macquarie
11096,Andrés,Anand,Andrés Anand,2/7/1968,Male,4/11/2019,North Sydney
11097,Edwin,Nara,Edwin Nara,10/23/1972,Male,4/4/2019,Warrnambool
11098,Mallory,Rubio,Mallory Rubio,10/29/1966,Female,2/11/2021,Rhodes
11099,Adam,Ross,Adam Ross,9/5/1966,Male,4/7/2019,Port Macquarie
11100,Latasha,Navarro,Latasha Navarro,3/15/1966,Female,4/16/2019,Cloverdale
11101,Abby,Sai,Abby Sai,11/5/1970,Female,4/29/2019,Cranbourne
11102,Julia,Nelson,Julia Nelson,10/19/1970,Female,7/16/2021,Sydney
11103,Cassie,Chande,Cassie Chande,4/12/1981,Female,4/15/2019,Darlinghurst
11104,Edgar,Sara,Edgar Sara,3/8/1975,Male,5/4/2019,Gold Coast
11105,Candace,Fernandez,Candace Fernandez,6/27/1970,Female,5/14/2019,Matraville
11106,Jessie,Liu,Jessie Liu,3/11/1970,Male,5/18/2019,Warrnambool
11107,Bianca,Lin,Bianca Lin,3/4/1976,Female,5/1/2019,St. Leonards
11108,Kari,Alvarez,Kari Alvarez,1/10/1969,Female,5/3/2019,Port Macquarie
11109,Ruben,Kapoor,Ruben Kapoor,4/30/1980,Male,5/10/2019,South Melbourne
11110,Curtis,Yang,Curtis Yang,12/4/1967,Male,5/1/2019,Darlinghurst
11111,Meredith,Gutierrez,Meredith Gutierrez,8/23/1967,Female,5/20/2019,Geelong
11112,Crystal,Wang,Crystal Wang,3/8/1968,Female,5/25/2019,Hervey Bay
11113,Micheal,Blanco,Micheal Blanco,2/17/1973,Male,2/1/2021,Perth
11114,Leslie,Moreno,Leslie Moreno,11/25/1967,Female,3/18/2021,Rhodes
11115,Alvin,Cai,Alvin Cai,8/12/1967,Male,2/10/2021,St. Leonards
11116,Clinton,Carlson,Clinton Carlson,4/2/1979,Male,3/15/2021,Sydney
11117,April,Deng,April Deng,8/21/1966,Female,5/6/2019,Matraville
11118,Alvin,Zeng,Alvin Zeng,12/31/1962,Male,7/10/2021,Lavender Bay
11119,Evan,James,Evan James,10/7/1940,Male,2/3/2021,Port Macquarie
11120,Beth,Jiménez,Beth Jiménez,2/6/1942,Female,5/14/2019,Sydney
11121,Orlando,Suarez,Orlando Suarez,5/18/1966,Male,6/24/2021,Newcastle
11122,Byron,Vazquez,Byron Vazquez,9/30/1965,Male,2/21/2021,North Sydney
11123,Philip,Alvarez,Philip Alvarez,12/18/1965,Male,4/17/2021,Sunbury
11124,Ross,Jordan,Ross Jordan,7/23/1968,Male,5/5/2019,Warrnambool
11125,Dana,Navarro,Dana Navarro,10/6/1961,Female,1/31/2021,Seaford
11126,Shaun,Carson,Shaun Carson,10/5/1954,Male,5/28/2019,North Ryde
11127,Jan,Edwards,Jan Edwards,4/19/1981,Female,4/10/2021,San Gabriel
11128,Samantha,Long,Samantha Long,6/3/1981,Female,6/19/2021,Renton
11129,Julia,Wright,Julia Wright,2/1/1981,Female,8/6/2019,Sedro Woolley
11130,Caroline,Russell,Caroline Russell,7/5/1985,Female,12/9/2021,Lebanon
11131,Amanda,Rivera,Amanda Rivera,9/9/1985,Female,10/18/2021,Haney
11132,Melissa,Richardson,Melissa Richardson,4/25/1986,Female,4/9/2021,Langford
11133,Angela,Griffin,Angela Griffin,3/8/1986,Female,12/30/2021,Lake Oswego
11134,Larry,Townsend,Larry Townsend,2/22/1957,Male,5/3/2019,Perth
11135,Marcus,Harris,Marcus Harris,5/2/1985,Male,4/18/2021,Burlingame
11136,Brianna,Morgan,Brianna Morgan,4/24/1984,Female,1/3/2021,Metchosin
11137,Jasmine,Taylor,Jasmine Taylor,1/17/1984,Female,7/31/2021,Spokane
11138,Lauren,Davis,Lauren Davis,3/14/1984,Female,9/19/2021,Glendale
11139,Tanya,Moreno,Tanya Moreno,11/5/1949,Female,9/14/2021,Cloverdale
11140,Javier,Alvarez,Javier Alvarez,8/11/1982,Male,3/19/2021,Burbank
11141,Nicole,Ramirez,Nicole Ramirez,12/19/1982,Female,5/16/2021,Daly City
11142,Eduardo,Patterson,Eduardo Patterson,2/11/1983,Male,2/13/2021,Langford
11143,Jonathan,Henderson,Jonathan Henderson,8/4/1982,Male,6/15/2021,Lakewood
11144,Edward,Hernandez,Edward Hernandez,3/8/1985,Male,1/25/2021,Ballard
11145,Jasmine,Coleman,Jasmine Coleman,6/6/1985,Female,1/25/2021,Beaverton
11146,Karla,Goel,Karla Goel,2/22/1945,Female,2/5/2021,Matraville
11147,Ernest,Wu,Ernest Wu,8/4/1944,Male,5/13/2019,Warrnambool
11148,Ross,Vazquez,Ross Vazquez,2/13/1947,Male,3/7/2021,East Brisbane
11149,Theodore,Gill,Theodore Gill,10/18/1946,Male,6/4/2021,Hervey Bay
11150,Russell,Shen,Russell Shen,9/12/1946,Male,3/27/2021,Sunbury
11151,Melinda,Gill,Melinda Gill,8/25/1947,Female,5/15/2019,Sydney
11152,James,Williams,James Williams,7/9/1981,Male,1/9/2021,Puyallup
11153,Angela,James,Angela James,12/21/1981,Female,3/29/2021,Renton
11154,Megan,Walker,Megan Walker,2/18/1982,Female,1/10/2021,Woodburn
11155,Hunter,Robinson,Hunter Robinson,7/25/1981,Male,1/6/2021,Burbank
11156,Maria,Roberts,Maria Roberts,8/6/1981,Female,1/8/2021,Lakewood
11157,Hannah,Long,Hannah Long,12/8/1980,Female,7/24/2021,Tacoma
11158,Jason,Wright,Jason Wright,4/6/1981,Male,1/19/2021,San Gabriel
11159,Brianna,Hughes,Brianna Hughes,3/16/1981,Female,9/8/2021,Woodland Hills
11160,Maurice,Tang,Maurice Tang,7/8/1979,Male,2/21/2021,Concord
11161,Emily,Wood,Emily Wood,10/20/1979,Female,6/1/2021,Concord
11162,Chase,Cox,Chase Cox,9/2/1979,Male,2/18/2021,La Jolla
11163,Gabriel,Wang,Gabriel Wang,6/18/1980,Male,5/1/2021,Spring Valley
11164,Devin,Brooks,Devin Brooks,11/2/1979,Male,4/27/2021,Torrance
11165,Jocelyn,Alexander,Jocelyn Alexander,1/15/1979,Female,5/25/2021,Oakland
11166,Ashley,Martinez,Ashley Martinez,10/22/1977,Female,10/14/2021,Olympia
11167,Jasmine,Barnes,Jasmine Barnes,1/29/1978,Female,1/7/2021,Issaquah
11168,David,Rodriguez,David Rodriguez,11/12/1973,Male,1/15/2021,Oakland
11169,Bryce,Richardson,Bryce Richardson,12/20/1973,Male,5/26/2021,Coronado
11170,Carol,Howard,Carol Howard,8/4/1973,Female,8/26/2021,Burien
11171,Jonathan,Hill,Jonathan Hill,10/5/1978,Male,8/20/2019,Woodland Hills
11172,Gabrielle,Adams,Gabrielle Adams,5/20/1973,Female,5/3/2021,Lynnwood
11173,Sarah,Thomas,Sarah Thomas,2/28/1973,Female,3/2/2021,W. Linn
11174,Nicholas,Robinson,Nicholas Robinson,1/9/1973,Male,7/13/2021,Los Angeles
11175,Luis,Wang,Luis Wang,9/1/1968,Male,8/28/2019,Beverly Hills
11176,Mason,Roberts,Mason Roberts,1/21/1979,Male,2/2/2021,Haney
11177,Jose,Flores,Jose Flores,1/1/1948,Male,3/29/2021,San Diego
11178,Nathan,Johnson,Nathan Johnson,8/20/1954,Male,2/21/2021,Lakewood
11179,Molly,Rodriguez,Molly Rodriguez,12/8/1959,Female,3/12/2021,Beverly Hills
11180,April,Anand,April Anand,7/1/1948,Female,3/17/2021,Chula Vista
11181,Devin,Martin,Devin Martin,2/1/1960,Male,5/7/2021,Los Angeles
11182,Stephanie,Torres,Stephanie Torres,2/22/1950,Female,8/28/2021,Sedro Woolley
11183,Jasmine,Lee,Jasmine Lee,1/12/1950,Female,4/30/2021,Santa Cruz
11184,Meghan,Hernandez,Meghan Hernandez,11/13/1955,Female,8/10/2021,Concord
11185,Ashley,Henderson,Ashley Henderson,4/7/1950,Female,2/21/2021,Metchosin
11186,Sarah,Price,Sarah Price,11/18/1949,Female,10/18/2021,Palo Alto
11187,Jennifer,Cooper,Jennifer Cooper,8/21/1949,Female,4/3/2021,Burien
11188,Catherine,Morris,Catherine Morris,3/6/1950,Female,11/1/2021,San Gabriel
11189,Lawrence,Blanco,Lawrence Blanco,1/12/1950,Male,8/26/2019,Bellingham
11190,Carson,Bryant,Carson Bryant,12/20/1949,Male,8/28/2021,Beverly Hills
11191,Kristi,Perez,Kristi Perez,6/17/1951,Female,8/11/2019,Colma
11192,James,Brown,James Brown,3/13/1951,Male,6/23/2021,Seattle
11193,Ian,Gray,Ian Gray,8/13/1950,Male,2/25/2021,Woodburn
11194,Jacqueline,Price,Jacqueline Price,12/8/1950,Female,3/13/2021,Palo Alto
11195,Megan,Henderson,Megan Henderson,8/10/1951,Female,4/14/2021,Renton
11196,Alfredo,Romero,Alfredo Romero,12/5/1951,Male,3/3/2021,Beaverton
11197,Andrea,Morris,Andrea Morris,12/16/1951,Female,5/2/2021,Seattle
11198,Brooke,Sanders,Brooke Sanders,5/25/1952,Female,2/5/2021,Santa Cruz
11199,Jacqueline,Bennett,Jacqueline Bennett,11/2/1957,Female,3/18/2021,Burlingame
11200,Jason,Griffin,Jason Griffin,5/21/1953,Male,2/7/2021,Victoria
11201,Amanda,Foster,Amanda Foster,2/14/1953,Female,7/1/2021,Santa Monica
11202,Alexia,Price,Alexia Price,8/22/1958,Female,9/15/2021,Lakewood
11203,Luis,Diaz,Luis Diaz,8/18/1959,Male,2/20/2021,Port Hammond
11204,Destiny,Rivera,Destiny Rivera,11/29/1953,Female,8/9/2021,Beaverton
11205,Abby,Fernandez,Abby Fernandez,1/21/1954,Female,7/27/2021,Burien
11206,Blake,Flores,Blake Flores,3/24/1954,Male,5/11/2021,Lynnwood
11207,Danielle,Cox,Danielle Cox,1/16/1954,Female,1/31/2021,Renton
11208,Maria,Reed,Maria Reed,8/3/1953,Female,3/4/2021,Glendale
11209,Allison,Evans,Allison Evans,7/12/1953,Female,3/25/2021,Lincoln Acres
11210,Edward,Wood,Edward Wood,12/6/1953,Male,5/6/2021,West Covina
11211,Samantha,Russell,Samantha Russell,10/8/1960,Female,2/1/2021,Haney
11212,Chloe,Campbell,Chloe Campbell,5/5/1955,Female,1/30/2021,Metchosin
11213,Stephanie,Murphy,Stephanie Murphy,11/11/1954,Female,3/28/2021,Edmonds
11214,Charles,Miller,Charles Miller,5/7/1955,Male,8/14/2021,Milwaukie
11215,Ana,Perry,Ana Perry,6/17/1961,Female,2/15/2021,Royal Oak
11216,Jasmine,Torres,Jasmine Torres,11/17/1955,Female,8/15/2019,Portland
11217,Natalie,Adams,Natalie Adams,8/11/1955,Female,8/10/2019,Portland
11218,Olivia,Brown,Olivia Brown,9/7/1961,Female,2/28/2021,Tacoma
11219,Charles,Cook,Charles Cook,5/31/1956,Male,10/29/2021,Woodburn
11220,Erica,Huang,Erica Huang,2/19/1961,Female,3/14/2021,Colma
11221,Nathan,Perry,Nathan Perry,12/8/1955,Male,4/7/2021,Lakewood
11222,Alexandra,Rivera,Alexandra Rivera,2/14/1956,Female,11/1/2021,Santa Monica
11223,Hailey,Patterson,Hailey Patterson,3/15/1957,Female,1/29/2021,Langley
11224,Tiffany,Li,Tiffany Li,3/5/1957,Female,8/7/2019,Burien
11225,Madison,Lee,Madison Lee,2/12/1962,Female,6/22/2021,Renton
11226,Sydney,Ross,Sydney Ross,9/23/1962,Female,2/21/2021,W. Linn
11227,Marshall,Chavez,Marshall Chavez,8/8/1962,Male,8/3/2019,Colma
11228,Ashley,Jones,Ashley Jones,10/16/1956,Female,10/25/2021,El Cajon
11229,Adrian,Stewart,Adrian Stewart,6/1/1957,Male,7/27/2021,Redwood City
11230,Amber,Turner,Amber Turner,9/30/1956,Female,7/16/2021,Santa Monica
11231,Dennis,Zhang,Dennis Zhang,11/11/1963,Male,2/10/2021,Bremerton
11232,Hailey,Bryant,Hailey Bryant,3/27/1958,Female,9/20/2021,Everett
11233,Todd,Li,Todd Li,9/6/1963,Male,2/8/2021,Berkeley
11234,Anna,Griffin,Anna Griffin,5/19/1958,Female,2/8/2021,Long Beach
11235,Angel,Stewart,Angel Stewart,8/7/1957,Male,7/4/2021,Ballard
11236,Jeremy,Butler,Jeremy Butler,9/2/1957,Male,10/3/2021,Bellingham
11237,Clarence,Anand,Clarence Anand,3/22/1964,Male,9/5/2019,Solingen
11238,Mayra,Prasad,Mayra Prasad,2/7/1964,Female,1/6/2019,Birmingham
11239,Latoya,Goel,Latoya Goel,10/2/1969,Female,1/19/2019,London
11240,Anne,Hernandez,Anne Hernandez,6/9/1964,Female,2/27/2019,Watford
11241,Lisa,Cai,Lisa Cai,4/6/1974,Female,9/10/2020,Les Ulis
11242,Larry,Munoz,Larry Munoz,5/11/1963,Male,9/19/2020,Versailles
11243,Robin,Alvarez,Robin Alvarez,4/8/1963,Female,2/21/2019,Esher-Molesey
11244,Alexis,Coleman,Alexis Coleman,11/22/1968,Female,2/12/2019,Runcorn
11245,Ricky,Vazquez,Ricky Vazquez,4/26/1962,Male,9/26/2019,Hamburg
11246,Latasha,Rubio,Latasha Rubio,4/8/1962,Female,10/3/2019,Hamburg
11247,Claudia,Zhou,Claudia Zhou,12/4/1961,Female,2/18/2019,Lancaster
11248,Tristan,Alexander,Tristan Alexander,3/22/1966,Male,7/14/2021,Saint-Denis
11249,Cindy,Patel,Cindy Patel,7/9/1966,Female,10/9/2019,Sulzbach Taunus
11250,Shannon,Liu,Shannon Liu,3/8/1966,Female,3/17/2019,Woolston
11251,Xavier,Long,Xavier Long,1/1/1938,Male,10/18/2021,Haney
11252,Nicholas,Thompson,Nicholas Thompson,12/5/1937,Male,8/14/2019,Lemon Grove
11253,José,Hernandez,José Hernandez,8/24/1949,Male,3/1/2021,Victoria
11254,Johnathan,Vance,Johnathan Vance,8/31/1938,Male,11/23/2021,Burien
11255,Colin,Lin,Colin Lin,10/2/1938,Male,2/23/2021,Burien
11256,Katelyn,Hernandez,Katelyn Hernandez,3/20/1939,Female,4/15/2021,Lynnwood
11257,Jacqueline,Powell,Jacqueline Powell,7/6/1938,Female,8/24/2019,Newport Beach
11258,Xavier,Hill,Xavier Hill,12/26/1938,Male,5/21/2021,Palo Alto
11259,Victoria,Stewart,Victoria Stewart,9/24/1970,Female,9/4/2019,Salem
11260,Katelyn,Kelly,Katelyn Kelly,4/8/1976,Female,2/5/2021,Burlingame
11261,Stephanie,Collins,Stephanie Collins,10/22/1970,Female,9/27/2019,San Diego
11262,Jennifer,Simmons,Jennifer Simmons,5/1/1975,Female,2/27/2021,Port Hammond
11263,Trinity,Richardson,Trinity Richardson,3/11/1970,Female,8/29/2019,Burien
11264,Eduardo,Martin,Eduardo Martin,12/15/1969,Male,1/2/2021,Issaquah
11265,Elizabeth,Jones,Elizabeth Jones,1/10/1970,Female,1/3/2021,Kirkland
